page,CTA_text,CTA_location,CTA_destination,CTA_type
/aba-20,emergency_home Emergency,Main Body Grid,Form action,BUTTON
/aba-20,Citizen Portal,Main Body Grid,Form action,BUTTON
/aba-20,forum Citizen Feedback,Main Body Grid,Form action,BUTTON
/aba-20,Economy,Link Group,/economic-transformation,LINK
/aba-20,Digital Gov,Link Group,/serve-abia,LINK
/aba-20,Governance,Link Group,/local-governance,LINK
/aba-20,Security,Link Group,/secure-abia,LINK
/aba-20,payments Economic Transformation,Link Group,/economic-transformation,LINK
/aba-20,account_balance Digital Government,Link Group,/serve-abia,LINK
/aba-20,mitre Transparent Governance,Link Group,/local-governance,LINK
/aba-20,security Public Trust,Link Group,/secure-abia,LINK
/aba-20,Invest Abia,Link Group,/invest-in-aba,LINK
/aba-20,Serve Abia,Link Group,/serve-abia,LINK
/aba-20,Build Abia,Link Group,/build-abia,LINK
/aba-20,Open Abia,Link Group,/open-abia,LINK
/aba-20,Town Hall,Link Group,/citizen-consultations,LINK
/aba-20-mobile,notifications,Main Body Grid,Form action,BUTTON
/aba-20-mobile,Fullscreen open_in_full,Main Body Grid,Form action,BUTTON
/aba-20-mobile,add,Main Body Grid,Form action,BUTTON
/aba-20-mobile,remove,Main Body Grid,Form action,BUTTON
/aba-20-mobile,Verify Ownership arrow_forward,Main Body Grid,Form action,BUTTON
/aba-20-mobile,add_a_photo,Main Body Grid,Form action,BUTTON
/aba-20-mobile,dashboard Dashboard,Main Body Grid,Form action,BUTTON
/aba-20-mobile,notifications_active Alerts,Main Body Grid,Form action,BUTTON
/aba-20-mobile,grid_view Hub,Main Body Grid,Form action,BUTTON
/aba-20-mobile,person Profile,Main Body Grid,Form action,BUTTON
/agri-transformation,Emergency,Main Body Grid,Form action,BUTTON
/agri-transformation,Citizen Portal,Main Body Grid,Form action,BUTTON
/agri-transformation,Citizen Feedback,Main Body Grid,Form action,BUTTON
/agri-transformation,View Export Ledgers,Main Body Grid,Form action,BUTTON
/agri-transformation,Economy,Link Group,/economic-transformation,LINK
/agri-transformation,Digital Gov,Link Group,/serve-abia,LINK
/agri-transformation,Governance,Link Group,/local-governance,LINK
/agri-transformation,Security,Link Group,/secure-abia,LINK
/agri-transformation,payments Economic Transformation,Link Group,/economic-transformation,LINK
/agri-transformation,account_balance Digital Government,Link Group,/serve-abia,LINK
/agri-transformation,mitre Transparent Governance,Link Group,/local-governance,LINK
/agri-transformation,security Public Trust,Link Group,/secure-abia,LINK
/agri-transformation,Agriculture,Link Group,/ministry-of-agriculture,LINK
/agri-transformation,Education,Link Group,/education-learning,LINK
/agri-transformation,Health,Link Group,/ministry-of-health,LINK
/agri-transformation,Budget,Link Group,/open-abia,LINK
/ai-academy,Citizen Portal,Main Body Grid,Form action,BUTTON
/ai-academy,Launch Service,Main Body Grid,Form action,BUTTON
/ai-academy,View All Courses,Main Body Grid,Form action,BUTTON
/ai-academy,All,Main Body Grid,Form action,BUTTON
/ai-academy,Foundation,Main Body Grid,Form action,BUTTON
/ai-academy,Specialist,Main Body Grid,Form action,BUTTON
/ai-academy,Advanced,Main Body Grid,Form action,BUTTON
/ai-academy,Enroll Now,Main Body Grid,Form action,BUTTON
/ai-academy,Enroll Now,Main Body Grid,Form action,BUTTON
/ai-academy,Enroll Now,Main Body Grid,Form action,BUTTON
/ai-academy,Enroll Now,Main Body Grid,Form action,BUTTON
/ai-academy,Enroll Now,Main Body Grid,Form action,BUTTON
/ai-academy,Enroll Now,Main Body Grid,Form action,BUTTON
/ai-academy,chat_bubble,Main Body Grid,Form action,BUTTON
/ai-academy,Economy,Link Group,/economic-transformation,LINK
/ai-academy,Digital Gov,Link Group,/serve-abia,LINK
/ai-academy,Governance,Link Group,/local-governance,LINK
/ai-academy,Security,Link Group,/secure-abia,LINK
/ai-academy,payments Economic Transformation,Link Group,/economic-transformation,LINK
/ai-academy,account_balance Digital Government,Link Group,/serve-abia,LINK
/ai-academy,gavel Transparent Governance,Link Group,/local-governance,LINK
/ai-academy-2,Citizen Portal,Main Body Grid,Form action,BUTTON
/ai-academy-2,Browse Catalog arrow_forward,Main Body Grid,Form action,BUTTON
/ai-academy-2,Watch Success Stories,Main Body Grid,Form action,BUTTON
/ai-academy-2,Go to Dashboard chevron_right,Main Body Grid,Form action,BUTTON
/ai-academy-2,Resume Learning,Main Body Grid,Form action,BUTTON
/ai-academy-2,Course Details,Main Body Grid,Form action,BUTTON
/ai-academy-2,Apply Now,Main Body Grid,Form action,BUTTON
/ai-academy-2,Download Prospectus,Main Body Grid,Form action,BUTTON
/ai-academy-2,Serve Abia,Link Group,/serve-abia,LINK
/ai-academy-2,Jobs Abia,Link Group,/jobs-abia,LINK
/ai-academy-2,AI Academy,Link Group,/ai-academy,LINK
/ai-academy-2,Connect Abia,Link Group,/connect-abia,LINK
/ai-academy-2,Data Science,Link Group,/science-technology,LINK
/ai-academy-2,Institutional News,Link Group,/news-press-center,LINK
/ai-academy-2,Open Data Initiative,Link Group,/open-abia,LINK
/ai-academy-mobile,emergency_share,Main Body Grid,Form action,BUTTON
/ai-academy-mobile,Resume Learning play_circle,Main Body Grid,Form action,BUTTON
/ai-academy-mobile,All Paths,Main Body Grid,Form action,BUTTON
/ai-academy-mobile,Public Ops,Main Body Grid,Form action,BUTTON
/ai-academy-mobile,Dev Tools,Main Body Grid,Form action,BUTTON
/ai-academy-mobile,Strategy,Main Body Grid,Form action,BUTTON
/border-trade-logistics,Emergency,Main Body Grid,Form action,BUTTON
/border-trade-logistics,Citizen Portal,Main Body Grid,Form action,BUTTON
/border-trade-logistics,download Export Trade Data,Main Body Grid,Form action,BUTTON
/border-trade-logistics,add_circle New Trade Agreement,Main Body Grid,Form action,BUTTON
/border-trade-logistics,Verify Physical Permit QR,Main Body Grid,Form action,BUTTON
/border-trade-logistics,filter_list,Main Body Grid,Form action,BUTTON
/border-trade-logistics,View MOU,Main Body Grid,Form action,BUTTON
/border-trade-logistics,View MOU,Main Body Grid,Form action,BUTTON
/border-trade-logistics,Review Terms,Main Body Grid,Form action,BUTTON
/border-trade-logistics,Economy,Link Group,/economic-transformation,LINK
/border-trade-logistics,Digital Gov,Link Group,/serve-abia,LINK
/border-trade-logistics,Governance,Link Group,/local-governance,LINK
/border-trade-logistics,Security,Link Group,/secure-abia,LINK
/border-trade-logistics,Invest Abia,Link Group,/invest-in-aba,LINK
/border-trade-logistics,Serve Abia,Link Group,/serve-abia,LINK
/border-trade-logistics,Build Abia,Link Group,/build-abia,LINK
/border-trade-logistics,Open Abia,Link Group,/open-abia,LINK
/border-trade-logistics-2,Citizen Portal,Main Body Grid,Form action,BUTTON
/border-trade-logistics-2,analytics Live Trade Dashboard,Main Body Grid,Form action,BUTTON
/border-trade-logistics-2,Facilitation Guide,Main Body Grid,Form action,BUTTON
/border-trade-logistics-2,Access Portal,Main Body Grid,Form action,BUTTON
/border-trade-logistics-2,Facility Details arrow_forward,Main Body Grid,Form action,BUTTON
/border-trade-logistics-2,Sensor Network Log,Main Body Grid,Form action,BUTTON
/border-trade-logistics-2,Serve Abia,Link Group,/serve-abia,LINK
/border-trade-logistics-2,Jobs Abia,Link Group,/jobs-abia,LINK
/border-trade-logistics-2,AI Academy,Link Group,/ai-academy,LINK
/border-trade-logistics-2,Connect Abia,Link Group,/connect-abia,LINK
/border-trade-logistics-2,Institutional News,Link Group,/news-press-center,LINK
/border-trade-logistics-2,Investment Gateway,Link Group,/invest-in-aba,LINK
/border-trade-logistics-2,Trade Inquiries,Link Group,/economic-transformation,LINK
/build-abia,Citizen Portal,Main Body Grid,Form action,BUTTON
/build-abia,Launch Service,Main Body Grid,Form action,BUTTON
/build-abia,All Regions,Main Body Grid,Form action,BUTTON
/build-abia,Umuahia,Main Body Grid,Form action,BUTTON
/build-abia,Aba,Main Body Grid,Form action,BUTTON
/build-abia,Ohafia,Main Body Grid,Form action,BUTTON
/build-abia,View Full Archive,Main Body Grid,Form action,BUTTON
/build-abia,Economy,Link Group,/economic-transformation,LINK
/build-abia,Digital Gov,Link Group,/serve-abia,LINK
/build-abia,Governance,Link Group,/local-governance,LINK
/build-abia,Security,Link Group,/secure-abia,LINK
/build-abia,payments Economic Transformation,Link Group,/economic-transformation,LINK
/build-abia,account_balance Digital Government,Link Group,/serve-abia,LINK
/build-abia,gavel Transparent Governance,Link Group,/local-governance,LINK
/build-abia-mobile,add_a_photo Report Project Progress,Main Body Grid,Form action,BUTTON
/build-abia-mobile,dashboard Dashboard,Link Group,/home-mobile,LINK
/citizen-consultations,Citizen Portal,Main Body Grid,Form action,BUTTON
/citizen-consultations,Launch Service,Main Body Grid,Form action,BUTTON
/citizen-consultations,Join Active Consultation arrow_forward,Main Body Grid,Form action,BUTTON
/citizen-consultations,View Policy Archive,Main Body Grid,Form action,BUTTON
