page,menu_type,menu_label,destination,destination_route,destination_page
/aba-20,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/aba-20,Header Menu,Economy,/economy,/economy,Economy
/aba-20,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/aba-20,Header Menu,Governance,/governance,/governance,Governance
/aba-20,Header Menu,Security,/security,/security,Security
/agri-transformation,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/agri-transformation,Header Menu,Economy,/economy,/economy,Economy
/agri-transformation,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/agri-transformation,Header Menu,Governance,/governance,/governance,Governance
/agri-transformation,Header Menu,Security,/security,/security,Security
/ai-academy,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/ai-academy,Header Menu,Economy,/economy,/economy,Economy
/ai-academy,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/ai-academy,Header Menu,Governance,/governance,/governance,Governance
/ai-academy,Header Menu,Security,/security,/security,Security
/ai-academy-2,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/border-trade-logistics,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/border-trade-logistics,Header Menu,Economy,/economy,/economy,Economy
/border-trade-logistics,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/border-trade-logistics,Header Menu,Governance,/governance,/governance,Governance
/border-trade-logistics,Header Menu,Security,/security,/security,Security
/border-trade-logistics-2,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/build-abia,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/build-abia,Header Menu,Economy,/economy,/economy,Economy
/build-abia,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/build-abia,Header Menu,Governance,/governance,/governance,Governance
/build-abia,Header Menu,Security,/security,/security,Security
/citizen-consultations,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/citizen-consultations,Header Menu,Governance,/governance,/governance,Governance
/citizen-consultations,Header Menu,Economy,/economy,/economy,Economy
/citizen-consultations,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/citizen-consultations,Header Menu,Security,/security,/security,Security
/citizen-identity-civil-registry,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/citizen-identity-civil-registry,Header Menu,Economy,/economy,/economy,Economy
/citizen-identity-civil-registry,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/citizen-identity-civil-registry,Header Menu,Governance,/governance,/governance,Governance
/citizen-identity-civil-registry,Header Menu,Security,/security,/security,Security
/civil-service-portal-2,Header Menu,Governance,/governance,/governance,Governance
/civil-service-portal-2,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/civil-service-portal-2,Header Menu,Economy,/economy,/economy,Economy
/civil-service-portal-2,Header Menu,Security,/security,/security,Security
/commerce-trade,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/commerce-trade,Header Menu,Economy,/economy,/economy,Economy
/commerce-trade,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/commerce-trade,Header Menu,Governance,/governance,/governance,Governance
/commerce-trade,Header Menu,Security,/security,/security,Security
/commerce-trade-2,Header Menu,Governance,/governance,/governance,Governance
/connect-abia,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/cooperatives-micro-credit,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/cooperatives-micro-credit,Header Menu,Economy,/economy,/economy,Economy
/cooperatives-micro-credit,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/cooperatives-micro-credit,Header Menu,Governance,/governance,/governance,Governance
/cooperatives-micro-credit,Header Menu,Security,/security,/security,Security
/diaspora-gateway,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/diaspora-gateway,Header Menu,Economy,/economy,/economy,Economy
/diaspora-gateway,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/diaspora-gateway,Header Menu,Governance,/governance,/governance,Governance
/diaspora-gateway,Header Menu,Security,/security,/security,Security
/digital-archives-heritage,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/digital-archives-heritage,Header Menu,Economy,/economy,/economy,Economy
/digital-archives-heritage,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/digital-archives-heritage,Header Menu,Governance,/governance,/governance,Governance
/digital-archives-heritage,Header Menu,Security,/security,/security,Security
/digital-archives-heritage-2,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/digital-archives-heritage-2,Header Menu,Economy,/economy,/economy,Economy
/digital-archives-heritage-2,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/digital-archives-heritage-2,Header Menu,Governance,/governance,/governance,Governance
/digital-archives-heritage-2,Header Menu,Security,/security,/security,Security
/economic-transformation,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/economic-transformation,Header Menu,Economy,/economy,/economy,Economy
/economic-transformation,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/economic-transformation,Header Menu,Governance,/governance,/governance,Governance
/economic-transformation,Header Menu,Security,/security,/security,Security
/economic-transformation-2,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/economic-transformation-2,Header Menu,Economy,/economy,/economy,Economy
/economic-transformation-2,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/economic-transformation-2,Header Menu,Governance,/governance,/governance,Governance
/economic-transformation-2,Header Menu,Security,/security,/security,Security
/education-learning,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/education-learning,Header Menu,Economy,/economy,/economy,Economy
/education-learning,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/education-learning,Header Menu,Governance,/governance,/governance,Governance
/education-learning,Header Menu,Security,/security,/security,Security
/education-learning-2,Header Menu,Governance,/governance,/governance,Governance
/emergency-crisis-response,Header Menu,Economy,/economy,/economy,Economy
/emergency-crisis-response,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/emergency-crisis-response,Header Menu,Governance,/governance,/governance,Governance
/emergency-crisis-response,Header Menu,Security,/security,/security,Security
/employer-portal,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/employer-portal,Header Menu,Economy,/economy,/economy,Economy
/employer-portal,Header Menu,Governance,/governance,/governance,Governance
/employer-portal,Header Menu,Security,/security,/security,Security
/environment-sustainability,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
/environment-sustainability,Header Menu,Economy,/economy,/economy,Economy
/environment-sustainability,Header Menu,Digital Gov,/digital-gov,/digital-gov,Digital Gov
/environment-sustainability,Header Menu,Governance,/governance,/governance,Governance
/environment-sustainability,Header Menu,Security,/security,/security,Security
/environment-sustainability-2,Header Menu,Governance,/governance,/governance,Governance
/gada,Header Menu,Citizen Portal,/gada,/gada,Citizen Portal
